# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 713
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 713
DATA ascii
0.35649 -0.07926 -0.29796 -291533311484827222476031453704310751232.00000
0.35163 -0.06938 -0.29389 -284871513485688624021945131124916224000.00000
0.35205 -0.06204 -0.29255 -284871513485688624021945131124916224000.00000
0.35352 -0.04818 -0.29374 -287550860359150216988289410914301509632.00000
0.35804 -0.04915 -0.29234 -284882040056272919238895159748333666304.00000
0.35456 -0.04149 -0.29619 -286216399501687558984416225463189372928.00000
0.36012 -0.03543 -0.29714 -286221612080955697463715179906769879040.00000
0.35630 -0.02774 -0.30040 -282228614102284793107352684546091909120.00000
0.36098 -0.02838 -0.29917 -283557902945298519935267763448126111744.00000
0.35475 -0.01271 -0.29060 -284908001540565593377037812229979766784.00000
0.36079 -0.00625 -0.29493 -291580204415830865138051619749284020224.00000
0.35039 0.00181 -0.26926 -282244353252137226803601667613089857536.00000
0.35825 0.00127 -0.28350 -286247674977296389860209952124672409600.00000
0.34832 0.02114 -0.25994 -282218310638206138058777319342438612992.00000
0.35673 0.01514 -0.27681 -291564607242845657003495604313045073920.00000
0.34719 0.03359 -0.25626 -290224954088524464171993888365603717120.00000
0.35653 0.02884 -0.27691 -288885321216612874992162596365413646336.00000
0.35432 0.05035 -0.29205 -275577362956140093521886814537366110208.00000
0.35947 0.04400 -0.29181 -286237249818760112901612043237511397376.00000
0.35469 0.06533 -0.29799 -274232476940141158559415720199092961280.00000
0.35930 0.06627 -0.29674 -286226824660223835943014134350350385152.00000
0.35368 0.07976 -0.29877 -272872014033566619114059034371832152064.00000
0.35825 0.08093 -0.29739 -286205994625560885677488740523279646720.00000
0.35046 0.09198 -0.29003 -291512522014983479513846907771742584832.00000
0.35706 0.08771 -0.29519 -288869663196398855902595309087420841984.00000
0.36681 -0.08332 -0.29875 -284866382036058900149327872470340861952.00000
0.36160 -0.07300 -0.29501 -291543756925773103086299786538723049472.00000
0.36676 -0.06659 -0.29199 -292873005203967622610874017546254680064.00000
0.36242 -0.05774 -0.29240 -291548969505041241565598740982303555584.00000
0.36713 -0.05886 -0.29069 -292878197500826157438502548042583900160.00000
0.36490 -0.04393 -0.29786 -287556113503237562770929213252384587776.00000
0.37088 -0.03761 -0.29871 -292888642941772038048770880876996198400.00000
0.36688 -0.02955 -0.30233 -287550860359150216988289410914301509632.00000
0.37271 -0.02275 -0.30275 -294233407263313351101219431531761631232.00000
0.36774 -0.00696 -0.30248 -290230105820563791696281570967430365184.00000
0.37278 -0.00726 -0.30114 -291564546395616846048484332471291215872.00000
0.36618 0.00815 -0.29543 -287571710676222770905485228688623534080.00000
0.37318 0.00038 -0.30216 -288911323265724756433646096741562318848.00000
0.36416 0.02264 -0.28767 -291564607242845657003495604313045073920.00000
0.37236 0.01572 -0.29890 -292899047817898711355698365816905924608.00000
0.36365 0.03705 -0.28718 -286226824660223835943014134350350385152.00000
0.36988 0.03045 -0.29041 -282223502935064672886405849838767833088.00000
0.36627 0.04545 -0.29908 -290230126102973395347951994914681651200.00000
0.37172 0.05410 -0.30110 -290230105820563791696281570967430365184.00000
0.36508 0.06795 -0.29971 -290224954088524464171993888365603717120.00000
0.37092 0.06158 -0.29980 -292914644990883919490254381253144870912.00000
0.36406 0.07510 -0.29793 -288885300934203271340492172418162360320.00000
0.36880 0.08426 -0.29866 -283563156089385865717907565786209189888.00000
0.36029 0.09573 -0.29113 -287550860359150216988289410914301509632.00000
0.36637 0.09032 -0.29196 -287561265235276890295216895854211235840.00000
0.36337 0.10378 -0.28658 -288885300934203271340492172418162360320.00000
