# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 676
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 676
DATA ascii
0.35969 -0.08299 -0.31268 -279554621784958564182000326831046131712.00000
0.35662 -0.07491 -0.31812 -286205994625560885677488740523279646720.00000
0.36405 -0.07044 -0.32506 -288869703761218063205936156981923414016.00000
0.36170 -0.06306 -0.33542 -286216460348916369939427497304943230976.00000
0.36807 -0.05676 -0.33682 -280884012040020309268267525469336764416.00000
0.36413 -0.04810 -0.34110 -279580725246118463881835946943451234304.00000
0.37039 -0.04126 -0.34211 -284882100903501730193906431590087524352.00000
0.36607 -0.03257 -0.34572 -283552812060488003365991352688053321728.00000
0.37217 -0.02522 -0.34628 -286221672928184508418726451748523737088.00000
0.36216 -0.00724 -0.32380 -290225014935753275127005160207357575168.00000
0.36906 -0.01594 -0.33154 -288895766657558755602430929199825944576.00000
0.36057 0.00813 -0.31573 -282218371485434949013788591184192471040.00000
0.36553 0.00809 -0.31461 -284887252635541057718194114191914172416.00000
0.35857 0.02281 -0.30703 -284876868041823988062937053199255732224.00000
0.36341 0.02304 -0.30594 -290214650624445809123418523161950420992.00000
0.36219 0.03023 -0.30137 -290199012886641393685521659831208902656.00000
0.36187 0.03756 -0.30098 -290204205183499928513150190327538122752.00000
0.35669 0.04424 -0.30144 -286211308616877042415139814703116582912.00000
0.35614 0.05135 -0.30054 -274216981179203968683211824499110445056.00000
0.35456 0.05779 -0.29511 -272887712618599845506967169544327528448.00000
0.35916 0.05862 -0.29392 -290224994653343671475334736260106289152.00000
0.35290 0.07142 -0.29211 -278215009195456578653839458778107346944.00000
0.35190 0.07807 -0.29026 -272861629439849549458801973379173711872.00000
0.34878 0.09003 -0.28186 -291512522014983479513846907771742584832.00000
0.35520 0.08584 -0.28678 -284876786912185573456255357410250588160.00000
0.37179 -0.08868 -0.31898 -287550860359150216988289410914301509632.00000
0.36862 -0.08014 -0.32500 -288874875775666994381894263531001348096.00000
0.37546 -0.07427 -0.32664 -294197061185303607307819718057457090560.00000
0.37186 -0.06549 -0.33201 -292873066051196433565885289388008538112.00000
0.37863 -0.05902 -0.33331 -291543838055411517692981482327728193536.00000
0.37459 -0.05008 -0.33798 -287556214915285581029281332988641017856.00000
0.38001 -0.05111 -0.33623 -291559496075625536782548769605720997888.00000
0.37541 -0.03343 -0.33728 -286216500913735577242768345199445803008.00000
0.38089 -0.03419 -0.33568 -292888663224181641700441304824247484416.00000
0.37238 -0.00785 -0.32133 -291564586960436053351825180365793787904.00000
0.37977 -0.01687 -0.32871 -291564566678026449700154756418542501888.00000
0.37156 0.00018 -0.31745 -290245763840777810785848858245423169536.00000
0.37707 0.00800 -0.31682 -287582115552349444212412713628533260288.00000
0.36955 0.01576 -0.30915 -286242462398028251380910997681091903488.00000
0.37470 0.01586 -0.30784 -284918426699101870335635721117140779008.00000
0.37325 0.03122 -0.30330 -286216440066506766287757073357691944960.00000
0.37289 0.03890 -0.30285 -290219761791665929344365357869274497024.00000
0.36672 0.05333 -0.30249 -296886772370072666277750634892249530368.00000
0.37238 0.04653 -0.30212 -288895726092739548299090081305323372544.00000
0.36508 0.06795 -0.29971 -291564607242845657003495604313045073920.00000
0.37092 0.06158 -0.29980 -291564607242845657003495604313045073920.00000
0.36303 0.07430 -0.29363 -287561285517686493946887319801462521856.00000
0.36770 0.08334 -0.29430 -288885300934203271340492172418162360320.00000
0.36067 0.08804 -0.28940 -287540475765433147333032349921643069440.00000
0.36493 0.09714 -0.28938 -291543756925773103086299786538723049472.00000
0.35786 0.10116 -0.28425 -288869683478808459554265733034672128000.00000
