# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 707
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 707
DATA ascii
0.35449 -0.07692 -0.28877 -284881979209044108283883887906579808256.00000
0.35205 -0.06204 -0.29255 -292846922025217326562708821381100863488.00000
0.35648 -0.06320 -0.29099 -290209316350720048734097025034862198784.00000
0.35427 -0.05642 -0.30003 -292862539480612138348935260764591095808.00000
0.36007 -0.05069 -0.30134 -292857387748572810824647578162764447744.00000
0.35744 -0.03583 -0.30755 -286221612080955697463715179906769879040.00000
0.36226 -0.04443 -0.30861 -290193698895325236947870585651371966464.00000
0.36002 -0.02190 -0.31611 -290224954088524464171993888365603717120.00000
0.36529 -0.03042 -0.31792 -283547518351581450280010702455467671552.00000
0.35958 -0.01418 -0.31283 -286226824660223835943014134350350385152.00000
0.36495 -0.00709 -0.31292 -291564586960436053351825180365793787904.00000
0.35460 0.00132 -0.28858 -286242442115618647729240573733840617472.00000
0.36036 0.00821 -0.29235 -286237270101169716553282467184762683392.00000
0.34832 0.02114 -0.25994 -283547558916400657583351550349970243584.00000
0.35854 0.01526 -0.28461 -291554202366718983696568119373135347712.00000
0.34719 0.03359 -0.25626 -288885321216612874992162596365413646336.00000
0.35653 0.02884 -0.27691 -287550860359150216988289410914301509632.00000
0.35582 0.04245 -0.27598 -290219741509256325692694933922023211008.00000
0.35616 0.04963 -0.27895 -291548969505041241565598740982303555584.00000
0.35729 0.05747 -0.28570 -291554222649128587348238543320386633728.00000
0.35741 0.06493 -0.28836 -290224954088524464171993888365603717120.00000
0.35290 0.07142 -0.29211 -276880609185222731604977545168749068288.00000
0.35729 0.08006 -0.29310 -286195589749434212370561255583369920512.00000
0.35612 0.08676 -0.29093 -288854066023413647768039293651181895680.00000
0.35394 0.09232 -0.28442 -292846982872446137517720093222854721536.00000
0.36233 -0.07851 -0.28056 -287540435200613940029691502027140497408.00000
0.35950 -0.07086 -0.28602 -288874875775666994381894263531001348096.00000
0.36564 -0.06560 -0.28754 -291543756925773103086299786538723049472.00000
0.36242 -0.05774 -0.29240 -292867792624699484131575063102674173952.00000
0.36966 -0.05274 -0.29813 -292878197500826157438502548042583900160.00000
0.36713 -0.04535 -0.30711 -296860709473731973881255862674346999808.00000
0.37327 -0.03886 -0.30797 -292888622659362434397100456929744912384.00000
0.37035 -0.03112 -0.31652 -286216419784097162636086649410440658944.00000
0.37640 -0.02405 -0.31694 -294228255531274023576931748929934983168.00000
0.37185 -0.01570 -0.32002 -292899027535489107704027941869654638592.00000
0.37769 -0.00817 -0.31993 -291564586960436053351825180365793787904.00000
0.36811 0.00055 -0.30347 -291580204415830865138051619749284020224.00000
0.37342 0.00807 -0.30289 -292899027535489107704027941869654638592.00000
0.36522 0.01548 -0.29164 -296876347211536389319152726005088518144.00000
0.37013 0.01558 -0.29039 -296876347211536389319152726005088518144.00000
0.36299 0.02962 -0.28355 -292878197500826157438502548042583900160.00000
0.36744 0.03721 -0.28193 -290209316350720048734097025034862198784.00000
0.36165 0.05080 -0.28164 -295547038086113058839567223155803029504.00000
0.36635 0.05152 -0.28034 -292883369515275088614460654591661834240.00000
0.36190 0.05829 -0.28444 -295557503809468543101505979937466613760.00000
0.36780 0.06753 -0.28971 -290230146385382998999622418861932937216.00000
0.36303 0.07430 -0.29363 -291543756925773103086299786538723049472.00000
0.36782 0.07540 -0.29211 -288890513513471409819791126861742866432.00000
0.35931 0.09468 -0.28693 -292878197500826157438502548042583900160.00000
0.36532 0.08934 -0.28774 -287561265235276890295216895854211235840.00000
0.36137 0.10153 -0.27841 -290230146385382998999622418861932937216.00000
