# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 697
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 697
DATA ascii
0.34980 -0.06736 -0.28505 -287519625448360593415836532147321044992.00000
0.35551 -0.06227 -0.28661 -291522967455929360124115240606154883072.00000
0.35238 -0.05473 -0.29105 -292862580045431345652276108659093667840.00000
0.35804 -0.04915 -0.29234 -290193739460144444251211433545874538496.00000
0.35456 -0.04149 -0.29619 -288869663196398855902595309087420841984.00000
0.36012 -0.03543 -0.29714 -283547538633991053931681126402718957568.00000
0.35700 -0.02070 -0.30213 -291533392614465637082713149493315895296.00000
0.36202 -0.02887 -0.30368 -284887191788312246763182842350160314368.00000
0.35757 -0.01357 -0.30361 -291538584911324171910341679989645115392.00000
0.36234 -0.01398 -0.30245 -294212678640698419094046157440947322880.00000
0.35392 0.00828 -0.28521 -282233988940829760800015030567682703360.00000
0.35940 0.00823 -0.28822 -286237310665988923856623315079265255424.00000
0.35225 0.02178 -0.27799 -282218452615073363620470286973197615104.00000
0.35854 0.01526 -0.28461 -288906293228143050819380957823243386880.00000
0.35350 0.03581 -0.28537 -286216480631325973591097921252194516992.00000
0.35926 0.02951 -0.28870 -288885402346251289598844292154418790400.00000
0.35614 0.05135 -0.30054 -275572130094462351390917436146534318080.00000
0.36185 0.05259 -0.30377 -288906110686456617954347142297981812736.00000
0.35547 0.05838 -0.29939 -272898097212316915162224230536985968640.00000
0.36029 0.06697 -0.30108 -286226865225043043246354982244852957184.00000
0.35379 0.07217 -0.29634 -278225414071583251960766943718017073152.00000
0.35278 0.07891 -0.29446 -279549449770509633006042220281968197632.00000
0.35612 0.08676 -0.29093 -283557943510117727238608611342628683776.00000
0.35484 0.09332 -0.28854 -283557943510117727238608611342628683776.00000
0.35890 -0.07828 -0.28691 -291517815723890032599827558004328235008.00000
0.36340 -0.07967 -0.28493 -287524898874857542850146758432655409152.00000
0.35998 -0.06344 -0.28496 -292862640892660156607287380500847525888.00000
0.36455 -0.06464 -0.28320 -294202334611800556742129944342791454720.00000
0.36138 -0.05688 -0.28801 -295531522042766265311692903508569227264.00000
0.36739 -0.05115 -0.28921 -292873106616015640869226137282511110144.00000
0.36382 -0.04325 -0.29341 -291538605193733775562012103936896401408.00000
0.37088 -0.03761 -0.29871 -291559394663577518524196649869464567808.00000
0.36801 -0.03006 -0.30694 -286226824660223835943014134350350385152.00000
0.37391 -0.02317 -0.30736 -291564586960436053351825180365793787904.00000
0.36833 -0.01472 -0.30573 -290230146385382998999622418861932937216.00000
0.37396 -0.00748 -0.30566 -294233468110542162056230703373515489280.00000
0.36702 0.00067 -0.29904 -292899027535489107704027941869654638592.00000
0.37202 0.00050 -0.29775 -295567908685595216408433464877376339968.00000
0.36416 0.02264 -0.28767 -291559475793215933130878345658469711872.00000
0.37013 0.01558 -0.29039 -292893936650678591134751531109581848576.00000
0.36466 0.03737 -0.29128 -284892404367580385242481796793740820480.00000
0.36988 0.03045 -0.29041 -286226844942633439594684558297601671168.00000
0.36672 0.05333 -0.30249 -294233427545722954752889855479012917248.00000
0.37238 0.04653 -0.30212 -288895685527920340995749233410820800512.00000
0.36597 0.06069 -0.30123 -291564586960436053351825180365793787904.00000
0.37111 0.06970 -0.30265 -292893835238630572876399411373325418496.00000
0.36396 0.08302 -0.30028 -284892384085170781590811372846489534464.00000
0.37002 0.07705 -0.30078 -290224954088524464171993888365603717120.00000
0.36166 0.08900 -0.29363 -287561265235276890295216895854211235840.00000
0.36029 0.09573 -0.29113 -287561265235276890295216895854211235840.00000
0.36337 0.10378 -0.28658 -290219741509256325692694933922023211008.00000
