# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 691
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 691
DATA ascii
0.35547 -0.07807 -0.29330 -287529989759668059419423169192728199168.00000
0.35205 -0.06204 -0.29255 -292836517149090653255781336441191137280.00000
0.35603 -0.07063 -0.29223 -287529989759668059419423169192728199168.00000
0.35331 -0.05556 -0.29548 -295515803175323435267114344388822564864.00000
0.35781 -0.05664 -0.29400 -288859298885091389899008672042013687808.00000
0.35549 -0.03467 -0.29842 -284887171505902643111512418402909028352.00000
0.36015 -0.04303 -0.29933 -290198952039412582730510387989455044608.00000
0.35899 -0.02149 -0.31133 -290209316350720048734097025034862198784.00000
0.36417 -0.02989 -0.31305 -284887171505902643111512418402909028352.00000
0.35958 -0.01418 -0.31283 -290209316350720048734097025034862198784.00000
0.36495 -0.00709 -0.31292 -294217850655147350270004263990025256960.00000
0.35955 0.00815 -0.31104 -282223523217474276538076273786019119104.00000
0.36642 0.00036 -0.31870 -288890513513471409819791126861742866432.00000
0.35957 0.02298 -0.31160 -282218412050254156317129439078695043072.00000
0.36672 0.01580 -0.31982 -290225055500572482430346008101860147200.00000
0.35808 0.03742 -0.30652 -287556174350466373725940485094138445824.00000
0.36427 0.03074 -0.31035 -284887293200360265021534962086416744448.00000
0.36172 0.04649 -0.32472 -284887293200360265021534962086416744448.00000
0.36845 0.05602 -0.33260 -288890574360700220774802398703496724480.00000
0.36537 0.06243 -0.32118 -286232077804311181725653936688433463296.00000
0.36339 0.06917 -0.31480 -286226865225043043246354982244852957184.00000
0.35564 0.07373 -0.30512 -275546168610169677252774783664888217600.00000
0.35368 0.07976 -0.29877 -275540935748491935121805405274056425472.00000
0.35046 0.09198 -0.29003 -288854066023413647768039293651181895680.00000
0.35706 0.08771 -0.29519 -286206035190380092980829588417782218752.00000
0.36102 -0.08065 -0.29605 -287530010042077663071093593139979485184.00000
0.36564 -0.08207 -0.29402 -287524858310038335546805910538152837120.00000
0.36054 -0.07192 -0.29046 -288864470899540321074966778591091621888.00000
0.36676 -0.06659 -0.29199 -291533352049646429779372301598813323264.00000
0.36242 -0.05774 -0.29240 -294197040902894003656149294110205804544.00000
0.36851 -0.05194 -0.29362 -296871134632268250839853771561508012032.00000
0.36490 -0.04393 -0.29786 -294197081467713210959490142004708376576.00000
0.36707 -0.03741 -0.30481 -288874916340486201685235111425503920128.00000
0.37035 -0.03112 -0.31652 -286216419784097162636086649410440658944.00000
0.37117 -0.02346 -0.31841 -290219741509256325692694933922023211008.00000
0.37238 -0.00785 -0.32133 -291554182084309380044897695425884061696.00000
0.37977 -0.01687 -0.32871 -294223063234415488749303218433605763072.00000
0.37425 0.00798 -0.32811 -290230166667792602651292842809184223232.00000
0.38358 -0.00069 -0.34187 -292888622659362434397100456929744912384.00000
0.37433 0.01607 -0.32854 -290240672955967294216572447485350379520.00000
0.38104 0.02461 -0.33242 -292893896085859383831410683215079276544.00000
0.37160 0.03166 -0.31855 -288890574360700220774802398703496724480.00000
0.37777 0.04042 -0.32157 -287561285517686493946887319801462521856.00000
0.37440 0.04880 -0.33232 -288885321216612874992162596365413646336.00000
0.38047 0.05830 -0.33493 -291554202366718983696568119373135347712.00000
0.37166 0.06405 -0.32474 -291564607242845657003495604313045073920.00000
0.37070 0.07178 -0.32308 -288895726092739548299090081305323372544.00000
0.36620 0.07675 -0.30686 -286226844942633439594684558297601671168.00000
0.37108 0.08617 -0.30771 -284881979209044108283883887906579808256.00000
0.36166 0.08900 -0.29363 -288874916340486201685235111425503920128.00000
0.36599 0.09822 -0.29367 -291543756925773103086299786538723049472.00000
