# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 707
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 707
DATA ascii
0.36082 -0.08431 -0.31786 -286216440066506766287757073357691944960.00000
0.35495 -0.06493 -0.30645 -287530030324487266722764017087230771200.00000
0.36022 -0.07507 -0.31126 -282213118341347603231148788846109392896.00000
0.35625 -0.05819 -0.30948 -288864450617130717423296354643840335872.00000
0.36220 -0.05231 -0.31081 -284876888324233591714607477146507018240.00000
0.35959 -0.04497 -0.31981 -286221571516136490160374332012267307008.00000
0.36669 -0.03916 -0.32590 -283557984074936934541949459237131255808.00000
0.36255 -0.03083 -0.32939 -280889082642421222185873512282158268416.00000
0.36841 -0.02378 -0.32994 -288895705810329944647419657358072086528.00000
0.36787 -0.01559 -0.32637 -290230146385382998999622418861932937216.00000
0.36495 -0.00709 -0.31292 -290230166667792602651292842809184223232.00000
0.35835 0.00088 -0.30578 -287561285517686493946887319801462521856.00000
0.36338 0.00814 -0.30537 -283552812060488003365991352688053321728.00000
0.35666 0.02250 -0.29822 -283552852625307210669332200582555893760.00000
0.36142 0.01545 -0.29701 -288885442911070496902185140048921362432.00000
0.35466 0.02917 -0.28975 -282218412050254156317129439078695043072.00000
0.35990 0.03690 -0.29245 -286216480631325973591097921252194516992.00000
0.35485 0.04342 -0.29291 -280889123207240429489214360176660840448.00000
0.36084 0.05206 -0.29938 -288890513513471409819791126861742866432.00000
0.35279 0.05666 -0.28686 -279549510617738443961053492123722055680.00000
0.35741 0.06493 -0.28836 -286226885507452646898025406192104243200.00000
0.35203 0.07069 -0.28798 -276870244873915265601390908123341914112.00000
0.35105 0.07726 -0.28616 -278194240008022439343325336792790466560.00000
0.34797 0.08909 -0.27791 -290172929707891097637356463666055086080.00000
0.35430 0.08493 -0.28272 -286206035190380092980829588417782218752.00000
0.37591 -0.09312 -0.33572 -284881999491453711935554311853831094272.00000
0.36737 -0.07887 -0.31966 -284881999491453711935554311853831094272.00000
0.37411 -0.07308 -0.32128 -288885321216612874992162596365413646336.00000
0.36707 -0.05335 -0.30922 -287545749191930096767342576206977433600.00000
0.37312 -0.06359 -0.31433 -288885321216612874992162596365413646336.00000
0.37071 -0.04762 -0.32192 -287545769474339700419013000154228719616.00000
0.37709 -0.04086 -0.32280 -290224974370934067823664312312855003136.00000
0.37281 -0.03225 -0.32662 -286226824660223835943014134350350385152.00000
0.37903 -0.02498 -0.32704 -291564546395616846048484332471291215872.00000
0.37000 -0.00739 -0.31166 -291564546395616846048484332471291215872.00000
0.37843 -0.01650 -0.32358 -292904138702709227924974776576978714624.00000
0.36923 0.00043 -0.30801 -291564586960436053351825180365793787904.00000
0.37461 0.00805 -0.30741 -291564607242845657003495604313045073920.00000
0.36837 0.02327 -0.30475 -295541947201302542270290812395730239488.00000
0.37352 0.01579 -0.30332 -296897217811018546888018967726661828608.00000
0.36569 0.03770 -0.29547 -291538584911324171910341679989645115392.00000
0.37210 0.03096 -0.29890 -287561285517686493946887319801462521856.00000
0.37238 0.04653 -0.30212 -287561265235276890295216895854211235840.00000
0.37172 0.05410 -0.30110 -288895705810329944647419657358072086528.00000
0.36403 0.06724 -0.29538 -288895726092739548299090081305323372544.00000
0.36980 0.06094 -0.29546 -292899047817898711355698365816905924608.00000
0.36203 0.07353 -0.28944 -284892404367580385242481796793740820480.00000
0.36663 0.08245 -0.29005 -286216419784097162636086649410440658944.00000
0.35875 0.08618 -0.28123 -288874916340486201685235111425503920128.00000
0.36288 0.09504 -0.28113 -291543756925773103086299786538723049472.00000
0.35601 0.09900 -0.27622 -291538584911324171910341679989645115392.00000
