# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 694
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 694
DATA ascii
0.35114 -0.06113 -0.28815 -287519625448360593415836532147321044992.00000
0.35505 -0.06959 -0.28777 -283547518351581450280010702455467671552.00000
0.35238 -0.05473 -0.29105 -288869663196398855902595309087420841984.00000
0.35904 -0.04991 -0.29678 -283552852625307210669332200582555893760.00000
0.35551 -0.04215 -0.30068 -284892384085170781590811372846489534464.00000
0.36115 -0.03601 -0.30163 -284882100903501730193906431590087524352.00000
0.35798 -0.02109 -0.30667 -283557943510117727238608611342628683776.00000
0.36308 -0.02938 -0.30830 -284882040056272919238895159748333666304.00000
0.35802 -0.00637 -0.30482 -288895705810329944647419657358072086528.00000
0.36339 -0.01429 -0.30699 -291564586960436053351825180365793787904.00000
0.35758 0.00819 -0.30200 -282223523217474276538076273786019119104.00000
0.36317 0.00072 -0.30467 -290230146385382998999622418861932937216.00000
0.35857 0.02281 -0.30703 -283542447749180537362404715642646167552.00000
0.36346 0.01559 -0.30579 -290219842921304343951047053658279641088.00000
0.35712 0.03708 -0.30208 -287545769474339700419013000154228719616.00000
0.36322 0.03048 -0.30581 -288874977187715012640246383267257778176.00000
0.36243 0.04527 -0.30472 -286226905789862250549695830139355529216.00000
0.36185 0.05259 -0.30377 -288906191816095032561028838086986956800.00000
0.35367 0.05722 -0.29093 -271558504905224533285733786431298469888.00000
0.35741 0.06493 -0.28836 -287566518379364236077856698192294313984.00000
0.35118 0.06997 -0.28395 -276880609185222731604977545168749068288.00000
0.35021 0.07647 -0.28216 -278209837181007647477881352229029412864.00000
0.35343 0.08405 -0.27877 -287540455483023543681361925974391783424.00000
0.35220 0.09038 -0.27647 -287535242903755405202062971530811277312.00000
0.35788 -0.07714 -0.28252 -287550819794331009684948563019798937600.00000
0.35998 -0.06344 -0.28496 -291538584911324171910341679989645115392.00000
0.36455 -0.06464 -0.28320 -295531501760356661660022479561317941248.00000
0.36138 -0.05688 -0.28801 -292873025486377226262544441493505966080.00000
0.36851 -0.05194 -0.29362 -290209397480358463340778720823867342848.00000
0.36600 -0.04463 -0.30243 -288890614925519428078143246597999296512.00000
0.37206 -0.03823 -0.30328 -292883531774551917827824046169672122368.00000
0.36916 -0.03059 -0.31167 -287545769474339700419013000154228719616.00000
0.37514 -0.02360 -0.31209 -292888642941772038048770880876996198400.00000
0.36948 -0.01503 -0.31037 -291559354098758311220855801974961995776.00000
0.37517 -0.00770 -0.31030 -292893774391401761921388139531571560448.00000
0.36946 0.00808 -0.30873 -291554182084309380044897695425884061696.00000
0.37558 0.00014 -0.31133 -296891944384521597453708741441327464448.00000
0.36955 0.01576 -0.30915 -291564586960436053351825180365793787904.00000
0.37470 0.01586 -0.30784 -290230146385382998999622418861932937216.00000
0.37325 0.03122 -0.30330 -286226824660223835943014134350350385152.00000
0.37289 0.03890 -0.30285 -288895705810329944647419657358072086528.00000
0.36672 0.05333 -0.30249 -295567928968004820060103888824627625984.00000
0.37238 0.04653 -0.30212 -288895705810329944647419657358072086528.00000
0.36388 0.05946 -0.29263 -295567908685595216408433464877376339968.00000
0.36302 0.06655 -0.29116 -290230146385382998999622418861932937216.00000
0.36105 0.07277 -0.28534 -287561265235276890295216895854211235840.00000
0.36559 0.08157 -0.28590 -286216419784097162636086649410440658944.00000
0.35743 0.09267 -0.27883 -290209316350720048734097025034862198784.00000
0.36329 0.08745 -0.27962 -291543756925773103086299786538723049472.00000
0.35601 0.09900 -0.27622 -288874875775666994381894263531001348096.00000
0.37307 -0.09152 -0.28545 -292893774391401761921388139531571560448.00000
