# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 690
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 690
DATA ascii
0.35649 -0.07926 -0.29796 -288874835210847787078553415636498776064.00000
0.35205 -0.06204 -0.29255 -284892343520351574287470524951986962432.00000
0.35603 -0.07063 -0.29223 -290209275785900841430756177140359626752.00000
0.35331 -0.05556 -0.29548 -286226784095404628639673286455847813120.00000
0.35904 -0.04991 -0.29678 -288869744326037270509277004876425986048.00000
0.35551 -0.04215 -0.30068 -286226784095404628639673286455847813120.00000
0.36115 -0.03601 -0.30163 -286226824660223835943014134350350385152.00000
0.35828 -0.02871 -0.30957 -286221530951317282857033484117764734976.00000
0.36384 -0.02204 -0.31011 -291559333816348707569185378027710709760.00000
0.35958 -0.01418 -0.31283 -288880088354935132861193217974581854208.00000
0.35902 -0.00658 -0.30939 -288895705810329944647419657358072086528.00000
0.35835 0.00088 -0.30578 -286237249818760112901612043237511397376.00000
0.36317 0.00072 -0.30467 -290240571543919275958220327749093949440.00000
0.35488 0.01523 -0.28968 -284887293200360265021534962086416744448.00000
0.35943 0.02242 -0.28881 -286216521196145180894438769146697089024.00000
0.35833 0.02928 -0.28468 -287561326082505701250228167695965093888.00000
0.35803 0.03626 -0.28432 -287561285517686493946887319801462521856.00000
0.36043 0.04442 -0.29601 -287561285517686493946887319801462521856.00000
0.36084 0.05206 -0.29938 -288900918389598083126718611801652592640.00000
0.35562 0.06601 -0.30235 -276896246923027147042874408499490586624.00000
0.36029 0.06697 -0.30108 -283568409233473211500547368124292268032.00000
0.35368 0.07976 -0.29877 -272872074880795430069070306213586010112.00000
0.35933 0.07401 -0.29936 -284897616946848523721780751237321326592.00000
0.35046 0.09198 -0.29003 -287524858310038335546805910538152837120.00000
0.35706 0.08771 -0.29519 -286221632363365301115385603854021165056.00000
0.36102 -0.08065 -0.29605 -288874855493257390730223839583750062080.00000
0.36564 -0.08207 -0.29402 -288869703761218063205936156981923414016.00000
0.36207 -0.06536 -0.29380 -294212638075879211790705309546444750848.00000
0.36676 -0.06659 -0.29199 -292878197500826157438502548042583900160.00000
0.36372 -0.05091 -0.29525 -291538584911324171910341679989645115392.00000
0.36851 -0.05194 -0.29362 -292878217783235761090172971989835186176.00000
0.36600 -0.04463 -0.30243 -292873066051196433565885289388008538112.00000
0.37206 -0.03823 -0.30328 -291554222649128587348238543320386633728.00000
0.36801 -0.03006 -0.30694 -286226844942633439594684558297601671168.00000
0.37514 -0.02360 -0.31209 -292898986970669900400687093975152066560.00000
0.37000 -0.00739 -0.31166 -291569698127656173572772015073117863936.00000
0.37585 -0.01581 -0.31372 -295573019852815336629380299584700416000.00000
0.36811 0.00055 -0.30347 -292898986970669900400687093975152066560.00000
0.37342 0.00807 -0.30289 -292899027535489107704027941869654638592.00000
0.36627 0.01555 -0.29585 -294223063234415488749303218433605763072.00000
0.37123 0.01565 -0.29459 -292888622659362434397100456929744912384.00000
0.36365 0.03705 -0.28718 -284892384085170781590811372846489534464.00000
0.36881 0.03021 -0.28632 -286226824660223835943014134350350385152.00000
0.36522 0.04502 -0.29479 -288900938672007686778389035748903878656.00000
0.37059 0.05356 -0.29674 -287576882690671702081443335237701468160.00000
0.36508 0.06795 -0.29971 -286237270101169716553282467184762683392.00000
0.37092 0.06158 -0.29980 -290240591826328879609890751696345235456.00000
0.36292 0.08212 -0.29590 -284892384085170781590811372846489534464.00000
0.36891 0.07621 -0.29639 -288895705810329944647419657358072086528.00000
0.36637 0.09032 -0.29196 -288890452666242598864779855019989008384.00000
0.36493 0.09714 -0.28938 -290224893241295653216982616523849859072.00000
