# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 708
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 708
DATA ascii
0.35495 -0.06493 -0.30645 -286185347132584368276997162221470482432.00000
0.35913 -0.07392 -0.30632 -283547558916400657583351550349970243584.00000
0.35625 -0.05819 -0.30948 -287524959722086353805158030274409267200.00000
0.36220 -0.05231 -0.31081 -284892404367580385242481796793740820480.00000
0.35959 -0.04497 -0.31981 -287545647779882078508990456470721003520.00000
0.36397 -0.03969 -0.33798 -283552751213259192410980080846299463680.00000
0.36858 -0.03381 -0.35740 -282223523217474276538076273786019119104.00000
0.37627 -0.02679 -0.36405 -291543797490592310389640634433225621504.00000
0.37697 -0.01825 -0.36575 -294212678640698419094046157440947322880.00000
0.37208 -0.00852 -0.34364 -292878298912874175696854667778840330240.00000
0.35935 0.00076 -0.31035 -288885422628660893250514716101670076416.00000
0.36553 0.00809 -0.31461 -286221733775413319373737723590277595136.00000
0.35483 0.02220 -0.28984 -284887293200360265021534962086416744448.00000
0.36243 0.01552 -0.30135 -288890614925519428078143246597999296512.00000
0.35265 0.03551 -0.28144 -286221733775413319373737723590277595136.00000
0.36021 0.02974 -0.29282 -286221713493003715722067299643026309120.00000
0.35614 0.05135 -0.30054 -278215090325094993260521154567112491008.00000
0.36084 0.05206 -0.29938 -287561346364915304901898591643216379904.00000
0.35469 0.06533 -0.29799 -274211768599935830203912870055529938944.00000
0.35930 0.06627 -0.29674 -286221672928184508418726451748523737088.00000
0.35379 0.07217 -0.29634 -278215090325094993260521154567112491008.00000
0.35278 0.07891 -0.29446 -272866923148756102544782623611759362048.00000
0.35046 0.09198 -0.29003 -288848934573783923895422034996606533632.00000
0.35612 0.08676 -0.29093 -286206014907970489329159164470530932736.00000
0.36683 -0.08716 -0.32115 -286216419784097162636086649410440658944.00000
0.36541 -0.06843 -0.30793 -292873025486377226262544441493505966080.00000
0.37029 -0.06971 -0.30605 -294202233199752538483777824606535024640.00000
0.36573 -0.06045 -0.30628 -291538584911324171910341679989645115392.00000
0.36707 -0.05335 -0.30922 -291548989787450845217269164929554841600.00000
0.36949 -0.04684 -0.31685 -290230166667792602651292842809184223232.00000
0.37982 -0.04229 -0.33337 -292888622659362434397100456929744912384.00000
0.37817 -0.03468 -0.34855 -287550860359150216988289410914301509632.00000
0.38473 -0.02699 -0.34897 -294223063234415488749303218433605763072.00000
0.38705 -0.01883 -0.35661 -294223063234415488749303218433605763072.00000
0.38461 -0.00946 -0.34639 -294223063234415488749303218433605763072.00000
0.37794 -0.00050 -0.34333 -291554182084309380044897695425884061696.00000
0.37967 0.00794 -0.32673 -292888642941772038048770880876996198400.00000
0.36837 0.02327 -0.30475 -291549070917089259823950860718559985664.00000
0.37464 0.02368 -0.30798 -295557564656697354056517251779220471808.00000
0.36569 0.03770 -0.29547 -286221693210594112070396875695775023104.00000
0.37174 0.03855 -0.29846 -286226844942633439594684558297601671168.00000
0.36672 0.05333 -0.30249 -288906151251275825257687990192484384768.00000
0.37238 0.04653 -0.30212 -290235379247060741130591797252764729344.00000
0.36508 0.06795 -0.29971 -287561285517686493946887319801462521856.00000
0.37092 0.06158 -0.29980 -290230166667792602651292842809184223232.00000
0.36292 0.08212 -0.29590 -283547558916400657583351550349970243584.00000
0.36891 0.07621 -0.29639 -288890513513471409819791126861742866432.00000
0.36067 0.08804 -0.28940 -286200822611111954501530633974201712640.00000
0.36493 0.09714 -0.28938 -291543756925773103086299786538723049472.00000
0.36337 0.10378 -0.28658 -291543756925773103086299786538723049472.00000
0.38337 -0.11261 -0.32714 -286211207204829024156787694966860152832.00000
