# .PCD v0.7 - Point Cloud Data file format
VERSION 0.7
FIELDS x y z
SIZE 4 4 4
TYPE F F F
COUNT 1 1 1
WIDTH 695
HEIGHT 1
VIEWPOINT 0 0 0 1 0 0 0
POINTS 695
DATA ascii
0.35299 -0.06298 -0.29707 -287514493998730869543219273492745682944.00000
0.35704 -0.07170 -0.29680 -286205994625560885677488740523279646720.00000
0.35331 -0.05556 -0.29548 -288864531746769132029978050432845479936.00000
0.35904 -0.04991 -0.29678 -284876827477004780759596205304753160192.00000
0.35649 -0.04283 -0.30528 -280883951192791498313256253627582906368.00000
0.36220 -0.03661 -0.30623 -283547538633991053931681126402718957568.00000
0.36255 -0.03083 -0.32939 -283557943510117727238608611342628683776.00000
0.37088 -0.02473 -0.34068 -290224954088524464171993888365603717120.00000
0.37136 -0.01776 -0.36710 -282223563782293483841417121680521691136.00000
0.37752 -0.00962 -0.36713 -295562797518375096187486630170052263936.00000
0.37651 -0.00124 -0.38908 -284887333765179472324875809980919316480.00000
0.38113 0.00774 -0.38176 -284887272917950661369864538139165458432.00000
0.37383 0.02530 -0.37703 -283552812060488003365991352688053321728.00000
0.37969 0.01667 -0.37565 -288890574360700220774802398703496724480.00000
0.37183 0.04225 -0.36993 -288890574360700220774802398703496724480.00000
0.37510 0.03341 -0.35710 -288890574360700220774802398703496724480.00000
0.36805 0.05781 -0.35592 -278215049760275785957180306672609918976.00000
0.37285 0.04973 -0.34998 -284887232353131454066523690244662886400.00000
0.35957 0.06894 -0.32094 -278215090325094993260521154567112491008.00000
0.36537 0.06243 -0.32118 -284902870090935869504420553575404404736.00000
0.35555 0.08153 -0.30771 -280847523985143339913174844364273221632.00000
0.36239 0.07648 -0.31299 -284897637229258127373451175184572612608.00000
0.35133 0.09300 -0.29427 -292841810857997206341761986673776787456.00000
0.35802 0.08868 -0.29955 -288864511464359528378307626485594193920.00000
0.36212 -0.08188 -0.30080 -286216419784097162636086649410440658944.00000
0.36160 -0.07300 -0.29501 -288874875775666994381894263531001348096.00000
0.36207 -0.06536 -0.29380 -292862620610250552955616956553596239872.00000
0.36242 -0.05774 -0.29240 -291528180035197498603414195049735389184.00000
0.36851 -0.05194 -0.29362 -291543777208182706737970210485974335488.00000
0.36490 -0.04393 -0.29786 -287556133785647166422599637199635873792.00000
0.37327 -0.03886 -0.30797 -291554202366718983696568119373135347712.00000
0.37281 -0.03225 -0.32662 -287550860359150216988289410914301509632.00000
0.37628 -0.02534 -0.33925 -290224933806114860520323464418352431104.00000
0.38123 -0.01832 -0.35818 -290230146385382998999622418861932937216.00000
0.38925 -0.01032 -0.36412 -291564586960436053351825180365793787904.00000
0.38528 -0.00129 -0.37307 -288911323265724756433646096741562318848.00000
0.39161 0.00770 -0.37227 -290245763840777810785848858245423169536.00000
0.38406 0.01669 -0.36794 -290225014935753275127005160207357575168.00000
0.38836 0.02566 -0.36040 -294228336660912438183613444718940127232.00000
0.37934 0.03349 -0.34997 -284892404367580385242481796793740820480.00000
0.37893 0.04199 -0.34943 -283557963792527330890279035289879969792.00000
0.37247 0.05621 -0.32611 -291564586960436053351825180365793787904.00000
0.37984 0.04948 -0.33085 -287561265235276890295216895854211235840.00000
0.36952 0.07098 -0.31816 -286237270101169716553282467184762683392.00000
0.37567 0.06427 -0.31828 -292904260397166849834997320260486430720.00000
0.36502 0.08395 -0.30477 -284881999491453711935554311853831094272.00000
0.37116 0.07790 -0.30528 -288890513513471409819791126861742866432.00000
0.36166 0.08900 -0.29363 -288874916340486201685235111425503920128.00000
0.36029 0.09573 -0.29113 -291528180035197498603414195049735389184.00000
0.36337 0.10378 -0.28658 -291543756925773103086299786538723049472.00000
0.37885 -0.10725 -0.31049 -287530010042077663071093593139979485184.00000
